Id,SalePrice
1461,127325.28
1462,179240.53
1463,202974.94
1464,192071.67
1465,200285.06
1466,188453.38
1467,179490.12
1468,173819.84
1469,188348.44
1470,137968.28
1471,170585.62
1472,107722.03
1473,111267.97
1474,138967.42
1475,116549.44
1476,392724.78
1477,270034.28
1478,266803.34
1479,283785.84
1480,483987.88
1481,318905.62
1482,210994.73
1483,193321.88
1484,170931.73
1485,182784.66
1486,197799.0
1487,343789.97
1488,222392.62
1489,209099.27
1490,248333.66
1491,199349.94
1492,91232.56
1493,215887.81
1494,290461.6
1495,267445.6
1496,256375.78
1497,191918.98
1498,175680.44
1499,169647.75
1500,166317.84
1501,193637.23
1502,147283.97
1503,296612.0
1504,237571.84
1505,230813.25
1506,188801.61
1507,249728.03
1508,205879.19
1509,161385.02
1510,146329.3
1511,153399.17
1512,160857.86
1513,149060.84
1514,163887.64
1515,187079.75
1516,152172.48
1517,167380.56
1518,127461.586
1519,229400.6
1520,131486.81
1521,141445.48
1522,165578.4
1523,124076.05
1524,128345.55
1525,117147.41
1526,108279.39
1527,113050.34
1528,130037.78
1529,149267.12
1530,207727.83
1531,121257.92
1532,93859.4
1533,151549.19
1534,123210.734
1535,149312.3
1536,107414.07
1537,45164.664
1538,191695.16
1539,231739.69
1540,104251.84
1541,136209.28
1542,141427.0
1543,214265.19
1544,80740.41
1545,122591.516
1546,130937.69
1547,144152.6
1548,138448.02
1549,112679.04
1550,130655.06
1551,106206.56
1552,138918.9
1553,151238.05
1554,126399.27
1555,155090.31
1556,89910.45
1557,114282.734
1558,115548.96
1559,80240.73
1560,112702.3
1561,143618.53
1562,129597.31
1563,120294.94
1564,157742.72
1565,146722.31
1566,253519.8
1567,78663.234
1568,216475.42
1569,131523.19
1570,133484.1
1571,107627.91
1572,142944.88
1573,248380.78
1574,123416.516
1575,222547.16
1576,271257.03
1577,191090.17
1578,146790.17
1579,148029.66
1580,188318.31
1581,151274.75
1582,133155.4
1583,289675.56
1584,217356.89
1585,143741.7
1586,77922.94
1587,100500.234
1588,149415.84
1589,86840.42
1590,141833.31
1591,92841.15
1592,116911.25
